"product_id","product_title","product_subtitle","product_px"
"1304576","UA Charged Cotton® 2.0 Lo Cut - 6-Pack","Adult Sock","$20.00"
"3022644","UA HOVR™ Sonic 2 'College Pride'","Men’s Running Shoes","$120.00"
"1281267","UA Storm SweaterFleece ¼ Zip","Men’s Sweater","$69.99"
"1326572","UA Launch SW 7''","Men’s  Running Shorts","$35.00"
"1287318","UA Ignite V","Men’s Slides","$34.99"
"1345321","Armour Fleece® Big Logo","Men’s  Hoodie","$55.00"
"1328496","UA Tech™","Men’s  Long Sleeve Shirt","$30.00"
"1277142","UA Qualifier 9"" Woven","Men’s  Shorts","$34.99"
"1344419","UA IntelliKnit Phantom","Men’s  Running Long Sleeve Shirt","$100.00"
"1320715","UA Sportstyle Pocket","Men’s  Short Sleeve Shirt","$30.00"
"1347261","Project Rock Track","Men’s  Jackets & Vests","$110.00"
"1320760","Armour Fleece® Joggers","Men’s  Pants & Sweatpants","$55.00"
"1353349","ColdGear® Base 4.0 Crew","Men’s  Long Sleeve Shirt","$80.00"
"1326579","UA Streaker","Men’s  Running Short Sleeve Shirt","$35.00"
"1282021","UA Elevated Performance No Show - 3-Pack","Adult Sock","$18.00"
"1295286","Armour Fleece® Double Threat","Men’s  Hoodie","$59.99"
"1333588","UA x Stance Rock Crew","Men’s Socks","$20.00"
"1326600","UA Qualifier Speedpocket 7''","Men’s  Running Shorts","$50.00"
"3022027","UA Charged Commit 2","Men’s Training Shoes","$80.00"
"1316928","UA Enduro","Men’s  Tactical Pants & Sweatpants","$75.00"
"1345463","UA Playoff","Men’s  Golf Long Sleeve Shirt","$70.00"
"1315589","UA Run Cushion No Show Tab","Running Sock","$13.00"
"1313204","UA Sportstyle Pique","Men’s Jacket","$50.00"
"3022893","UA Curry 6 Team","Basketball Shoes","$130.00"
"3022502","UA HOVR™ Infinite Camo","Men’s Running Shoes","$120.00"
"1345989","UA Tradesman Flannel 2.0","Men’s  Hunting Long Sleeve Shirt","$60.00"
"1346101","Project Rock Iron Paradise","Men’s  Long Sleeve Shirt","$40.00"
"3022411","UA ICON Curry 6 Basketball Shoes","Custom Basketball Shoes","$160.00"
"1282424","UA Resistor III No Show - 6-Pack","Adult Socks","$22.00"
"1348437","UA Shaped Graphic","Men’s  Graphic T-Shirt","$30.00"
